"Fleet","Fleet_name","Area","Seas","Obs","Exp","SE","SE_input","year","model_run","iteration","scenario"
1,"Comm",1,1,58.2056,49.579,0.13,0.13,31,"em","2","opaka-sim"
1,"Comm",1,1,42.4162,51.6567,0.13,0.13,32,"em","2","opaka-sim"
1,"Comm",1,1,67.1696,52.1174,0.13,0.13,33,"em","2","opaka-sim"
1,"Comm",1,1,57.8874,50.048,0.13,0.13,34,"em","2","opaka-sim"
1,"Comm",1,1,50.5365,46.4372,0.13,0.13,35,"em","2","opaka-sim"
1,"Comm",1,1,43.4579,42.4714,0.13,0.13,36,"em","2","opaka-sim"
1,"Comm",1,1,32.9424,38.3486,0.13,0.13,37,"em","2","opaka-sim"
1,"Comm",1,1,40.573,35.3579,0.13,0.13,38,"em","2","opaka-sim"
1,"Comm",1,1,27.193,33.7159,0.13,0.13,39,"em","2","opaka-sim"
1,"Comm",1,1,31.6526,33.3484,0.13,0.13,40,"em","2","opaka-sim"
1,"Comm",1,1,31.024,34.4681,0.13,0.13,41,"em","2","opaka-sim"
1,"Comm",1,1,43.5156,35.989,0.13,0.13,42,"em","2","opaka-sim"
1,"Comm",1,1,40.4045,35.2777,0.13,0.13,43,"em","2","opaka-sim"
1,"Comm",1,1,33.9118,33.6607,0.13,0.13,44,"em","2","opaka-sim"
1,"Comm",1,1,30.404,32.0804,0.13,0.13,45,"em","2","opaka-sim"
1,"Comm",1,1,26.4776,31.224,0.13,0.13,46,"em","2","opaka-sim"
1,"Comm",1,1,31.2923,32.3629,0.13,0.13,47,"em","2","opaka-sim"
1,"Comm",1,1,33.5764,35.4024,0.13,0.13,48,"em","2","opaka-sim"
1,"Comm",1,1,48.6923,38.8093,0.13,0.13,49,"em","2","opaka-sim"
1,"Comm",1,1,33.2365,40.8452,0.13,0.13,50,"em","2","opaka-sim"
1,"Comm",1,1,47.509,43.8282,0.13,0.13,51,"em","2","opaka-sim"
1,"Comm",1,1,51.0777,45.4524,0.13,0.13,52,"em","2","opaka-sim"
1,"Comm",1,1,46.8355,45.463,0.13,0.13,53,"em","2","opaka-sim"
1,"Comm",1,1,52.9899,44.6379,0.13,0.13,54,"em","2","opaka-sim"
1,"Comm",1,1,38.7609,44.5158,0.13,0.13,55,"em","2","opaka-sim"
1,"Comm",1,1,42.4916,44.5325,0.13,0.13,56,"em","2","opaka-sim"
1,"Comm",1,1,55.7445,44.1974,0.13,0.13,57,"em","2","opaka-sim"
1,"Comm",1,1,40.4573,43.3239,0.13,0.13,58,"em","2","opaka-sim"
1,"Comm",1,1,36.3912,42.6127,0.13,0.13,59,"em","2","opaka-sim"
1,"Comm",1,1,44.8298,42.9998,0.13,0.13,60,"em","2","opaka-sim"
1,"Comm",1,1,46.8115,43.933,0.13,0.13,61,"em","2","opaka-sim"
1,"Comm",1,1,42.9389,44.7161,0.13,0.13,62,"em","2","opaka-sim"
1,"Comm",1,1,42.2703,44.4808,0.13,0.13,63,"em","2","opaka-sim"
1,"Comm",1,1,47.9362,44.5613,0.13,0.13,64,"em","2","opaka-sim"
1,"Comm",1,1,47.684,43.7141,0.13,0.13,65,"em","2","opaka-sim"
1,"Comm",1,1,38.2696,43.3753,0.13,0.13,66,"em","2","opaka-sim"
1,"Comm",1,1,55.6392,45.9445,0.13,0.13,67,"em","2","opaka-sim"
1,"Comm",1,1,46.2311,46.7866,0.13,0.13,68,"em","2","opaka-sim"
1,"Comm",1,1,44.8762,47.848,0.13,0.13,69,"em","2","opaka-sim"
1,"Comm",1,1,43.394,49.4078,0.13,0.13,70,"em","2","opaka-sim"
1,"Comm",1,1,42.4974,51.9108,0.13,0.13,71,"em","2","opaka-sim"
1,"Comm",1,1,50.6674,52.7042,0.13,0.13,72,"em","2","opaka-sim"
1,"Comm",1,1,52.8146,53.5065,0.13,0.13,73,"em","2","opaka-sim"
1,"Comm",1,1,61.6831,55.6953,0.13,0.13,74,"em","2","opaka-sim"
1,"Comm",1,1,53.7019,55.7444,0.13,0.13,75,"em","2","opaka-sim"
3,"ResFish",1,1,2.47189,1.63804,0.25,0.25,69,"em","2","opaka-sim"
3,"ResFish",1,1,1.35813,1.70491,0.25,0.25,70,"em","2","opaka-sim"
3,"ResFish",1,1,1.32193,1.77468,0.25,0.25,71,"em","2","opaka-sim"
